epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3841.21,0.81706,0.51988,0.9424,0.7932,0.79365,0.83164,0.63948,0.86018,0.47839,0.93295,0.0092971,0.0092971,0.0092971
73,4224.9,0.81435,0.51759,0.93986,0.79307,0.79245,0.83166,0.63936,0.86022,0.47846,0.93288,0.0092872,0.0092872,0.0092872
74,4608.76,0.815,0.51956,0.94199,0.79177,0.79386,0.832,0.63957,0.86027,0.47859,0.93288,0.0092773,0.0092773,0.0092773
75,4992.5,0.81331,0.51834,0.94083,0.7927,0.79275,0.83157,0.63946,0.86041,0.47909,0.93289,0.0092674,0.0092674,0.0092674
76,5375.94,0.81407,0.51729,0.9406,0.79452,0.79417,0.83158,0.63963,0.86054,0.47907,0.93296,0.0092575,0.0092575,0.0092575
77,5760.41,0.81466,0.51706,0.93926,0.79704,0.792,0.83159,0.63979,0.86049,0.47917,0.93289,0.0092476,0.0092476,0.0092476
78,6143.88,0.81353,0.51393,0.93863,0.79663,0.79245,0.83113,0.6393,0.86053,0.47919,0.93283,0.0092377,0.0092377,0.0092377
79,6527.25,0.81019,0.51428,0.93856,0.7945,0.79307,0.83122,0.63873,0.86064,0.4794,0.93285,0.0092278,0.0092278,0.0092278
80,6910.25,0.81074,0.51334,0.93878,0.79469,0.79233,0.83127,0.63918,0.86081,0.47944,0.93297,0.0092179,0.0092179,0.0092179
81,2274.7,0.82928,0.42485,0.94025,0.79625,0.79506,0.83418,0.6404,0.85917,0.40944,0.93264,0.009208,0.009208,0.009208
82,2652.73,0.82793,0.42754,0.94083,0.79846,0.79393,0.83456,0.64046,0.85891,0.40739,0.93255,0.0091981,0.0091981,0.0091981
83,3031.37,0.82894,0.42629,0.93863,0.79591,0.7953,0.83518,0.6406,0.85888,0.40571,0.93251,0.0091882,0.0091882,0.0091882
84,3408.97,0.82784,0.42469,0.93823,0.79655,0.7954,0.83524,0.64016,0.85868,0.40415,0.9324,0.0091783,0.0091783,0.0091783
85,3786.94,0.82731,0.42606,0.93747,0.79529,0.7967,0.8356,0.64023,0.85849,0.40252,0.93227,0.0091684,0.0091684,0.0091684
